region,amplitude_A,frequency_THz,is_baseline,analysis_stage,frame_count,mean_dislocation_density_A-2,delta_dislocation_density_A-2_vib_minus_base,reduction_dislocation_density_A-2_percent,mean_segment_number_density_A-3,delta_segment_number_density_A-3_vib_minus_base,reduction_segment_number_density_A-3_percent,mean_shockley_density_A-2,delta_shockley_density_A-2_vib_minus_base,reduction_shockley_density_A-2_percent,mean_perfect_density_A-2,delta_perfect_density_A-2_vib_minus_base,reduction_perfect_density_A-2_percent,mean_stair_rod_density_A-2,delta_stair_rod_density_A-2_vib_minus_base,reduction_stair_rod_density_A-2_percent,mean_hirth_density_A-2,delta_hirth_density_A-2_vib_minus_base,reduction_hirth_density_A-2_percent,mean_frank_density_A-2,delta_frank_density_A-2_vib_minus_base,reduction_frank_density_A-2_percent,mean_other_density_A-2,delta_other_density_A-2_vib_minus_base,reduction_other_density_A-2_percent,mean_hcp_fraction,delta_hcp_fraction_vib_minus_base,reduction_hcp_fraction_percent,mean_other_atom_fraction,delta_other_atom_fraction_vib_minus_base,reduction_other_atom_fraction_percent
elastic,0.2,1.5,0,during_vibration,91,0.00014789319195945033,0.00014789319195945033,nan,1.5304503402573666e-05,1.5304503402573666e-05,nan,0.0001348396052447544,0.0001348396052447544,nan,1.264719402085911e-05,1.264719402085911e-05,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,4.0639269383685844e-07,4.0639269383685844e-07,nan,0.00026699226699226697,0.00026699226699226697,nan,0.1354074074074074,0.1354074074074074,nan
elastic,0.3,0.5,0,after_removal,13,0.0009165609560236435,0.0009165609560236435,nan,7.17441878962277e-05,7.17441878962277e-05,nan,0.0008092896062109821,0.0008092896062109821,nan,1.2065320063569771e-05,1.2065320063569771e-05,nan,7.943760206851754e-05,7.943760206851754e-05,nan,6.255169549315776e-06,6.255169549315776e-06,nan,0.0,0.0,nan,9.513258131258178e-06,9.513258131258178e-06,nan,0.007954415954415954,0.007954415954415954,nan,0.18664957264957266,0.18664957264957266,nan
elastic,0.3,0.5,0,before,11,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan
elastic,0.3,0.5,0,during_vibration,91,9.239867216050384e-06,9.239867216050384e-06,nan,1.1772694925056666e-06,1.1772694925056666e-06,nan,9.239867216050384e-06,9.239867216050384e-06,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,6.512006512006512e-05,6.512006512006512e-05,nan,0.1594114774114774,0.1594114774114774,nan
elastic,0.3,0.8,0,after_removal,13,0.0015579591587651287,0.0015579591587651287,nan,0.00012991515105533123,0.00012991515105533123,nan,0.0013756171027906555,0.0013756171027906555,nan,2.0908337142358228e-05,2.0908337142358228e-05,nan,0.00010271528713729295,0.00010271528713729295,nan,1.2158402611155377e-05,1.2158402611155377e-05,nan,0.0,0.0,nan,4.656002908366675e-05,4.656002908366675e-05,nan,0.009116809116809118,0.009116809116809118,nan,0.2133105413105413,0.2133105413105413,nan
elastic,0.3,0.8,0,before,11,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan
elastic,0.3,0.8,0,during_vibration,91,4.014180546844698e-05,4.014180546844698e-05,nan,4.847580263258627e-06,4.847580263258627e-06,nan,3.488331217110627e-05,3.488331217110627e-05,nan,4.8706587151782234e-06,4.8706587151782234e-06,nan,0.0,0.0,nan,3.8783458216248384e-07,3.8783458216248384e-07,nan,0.0,0.0,nan,0.0,0.0,nan,9.686609686609687e-05,9.686609686609687e-05,nan,0.16090028490028488,0.16090028490028488,nan
elastic,0.3,1.0,0,after_removal,13,0.0018907429637004768,0.0018907429637004768,nan,0.00015172926223999504,0.00015172926223999504,nan,0.0016157327357950793,0.0016157327357950793,nan,1.670369024799818e-05,1.670369024799818e-05,nan,0.00020195507199283972,0.00020195507199283972,nan,1.6476575294529148e-06,1.6476575294529148e-06,nan,0.0,0.0,nan,5.4703808135106605e-05,5.4703808135106605e-05,nan,0.015857549857549856,0.015857549857549856,nan,0.20771509971509972,0.20771509971509972,nan
elastic,0.3,1.0,0,before,11,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan
elastic,0.3,1.0,0,during_vibration,91,3.1473015424555176e-05,3.1473015424555176e-05,nan,4.016566503842863e-06,4.016566503842863e-06,nan,2.2143199514287732e-05,2.2143199514287732e-05,nan,9.329815910267448e-06,9.329815910267448e-06,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,9.035409035409036e-05,9.035409035409036e-05,nan,0.15053398453398453,0.15053398453398453,nan
